CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2023-03-31;1;BCO BRASIL S.A.;2865417020;0;2865417020;11590730;0;11590730
00.000.000/0001-91;2023-06-30;1;BCO BRASIL S.A.;2865417020;0;2865417020;11590730;0;11590730
00.000.000/0001-91;2023-09-30;1;BCO BRASIL S.A.;2865417020;0;2865417020;11590730;0;11590730
00.000.208/0001-00;2023-03-31;4;BRB BANCO DE BRASILIA S.A.;280146500;82900000;363046500;0;0;0
00.000.208/0001-00;2023-06-30;3;BRB BANCO DE BRASILIA S.A.;280146500;82900000;363046500;0;0;0
00.000.208/0001-00;2023-09-30;2;BRB BANCO DE BRASILIA S.A.;280146500;82900000;363046500;0;0;0
00.001.180/0001-26;2023-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2027011;280088;2307099;7987;4;7991
00.001.180/0001-26;2023-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2027011;280088;2307099;46375;7037;53412
00.001.180/0001-26;2023-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2027011;280088;2307099;46375;6842;53217
00.070.698/0001-11;2023-03-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.070.698/0001-11;2023-06-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.070.698/0001-11;2023-09-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.080.671/0001-00;2023-03-31;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.080.671/0001-00;2023-06-30;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
