CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2022-03-31;1;BCO BRASIL S.A.;2865417020;0;2865417020;11830375;0;11830375
00.000.000/0001-91;2022-06-30;1;BCO BRASIL S.A.;2865417020;0;2865417020;11780761;0;11780761
00.000.000/0001-91;2022-09-30;1;BCO BRASIL S.A.;2865417020;0;2865417020;11780761;0;11780761
00.000.208/0001-00;2022-03-31;4;BRB BANCO DE BRASILIA S.A.;280146;82900;363046;0;0;0
00.000.208/0001-00;2022-06-30;4;BRB BANCO DE BRASILIA S.A.;280147;82900;363047;0;0;0
00.000.208/0001-00;2022-09-30;4;BRB BANCO DE BRASILIA S.A.;280147;82900;363047;0;0;0
00.001.180/0001-26;2022-03-31;3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1288843;280088;1568931;0;0;0
00.001.180/0001-26;2022-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1916518;280088;2196606;0;0;0
00.001.180/0001-26;2022-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021139;280088;2301228;0;0;0
00.070.698/0001-11;2022-03-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.070.698/0001-11;2022-06-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.070.698/0001-11;2022-09-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.080.671/0001-00;2022-03-31;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.080.671/0001-00;2022-06-30;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
